名字,开放时间,评分,建议游玩时间,门票,来源城市
华顶国家森林公园Huading National Forest Park,7:30-17:00,4.3,3.0,40.0,台州
赤城山Chicheng Mountain,8:00-16:00,4.2,1.5,14.9,台州
席力图召Xilitu Zhao  Temple,08:00-18:00,4.5,1.0,7.0,呼和浩特
清真大寺Great Mosque,8:30-18:00,4.6,1.0,5.0,呼和浩特
黄河大峡谷?老牛湾旅游区The Yellow River Grand Canyon Lao Niu Wan Tourist Area,8:00-19:00,4.4,1.5,35.0,呼和浩特
乌素图召Wusutuzhao Temples,8:00-18:00,4.8,2.5,5.0,呼和浩特
蒙牛工业旅游景区Mengniu Industrial Scenic Spot,9:20-11:00,4.5,2.5,6.0,呼和浩特
泉寿湾（贾浪沟）旅游景区Quanshou Bay (Jialang Ditch) Scenic Spot,8:30-17:00,3.2,12.0,49.0,呼和浩特
九宫山Jiugong Mountains,8:30-17:30,4.3,72.0,45.0,咸宁
汉商温泉,10:30-24:00,3.0,6.0,98.0,咸宁
陆水湖风景区Lushui Lake Scenic Spot,08:00-17:00,4.1,2.0,79.0,咸宁
闯王陵Chuangwang Tomb,8:00-18:00,3.6,1.5,20.0,咸宁
壶头峡漂流,10:30-15:00,3.0,4.0,180.0,咸宁
万亩茶园·茶园里梦想小镇Miles Tea Garden · Tetris Town,08:30-17:30,3.5,12.0,55.0,咸宁
印象林花生态谷Impression Linhua Ecological Valley,9:00-16:30,4.5,2.5,60.0,咸宁
长城第一墩First Pier of the Great Wall,8:30-17:30,4.3,1.5,1.0,嘉峪关
悬壁长城The Great Wall in Suspension,8:30-18:30,4.4,1.5,1.0,嘉峪关
嘉峪关文物景区,8:30-18:00,4.4,1.5,120.0,嘉峪关
嘉峪关观复丝路博物馆Jiayuguanguan Fusilu Museum,9:00-12:00,4.0,1.5,0.0,嘉峪关
天下第一墩The First Strategic Post,8:30-18:00,4.2,1.5,21.0,嘉峪关
戏台,8:30-18:30,4.2,1.0,120.0,嘉峪关
罗城和箭楼Luocheng and Arrow Towers,8:30-18:30,4.4,0.75,120.0,嘉峪关
新城魏晋壁画墓Xincheng Mural Tombs of Wei and Jin Dynasties,9:00-17:00,4.2,2.5,1.0,嘉峪关
紫轩葡萄酒庄园Zi Xuan Wine Estate,9:30-17:00,4.0,2.5,23.0,嘉峪关
内城Neicheng,8:30-18:00,4.5,1.0,120.0,嘉峪关
苍山Cangshan Mountain,08:30-15:00,4.5,12.0,100.0,大理
蝴蝶泉Butterfly Spring Park,08:30-18:00,4.3,1.5,37.8,大理
金梭岛Jinsuo Island,09:00-18:00,4.0,12.0,98.0,大理
南诏风情岛Nanzhao Customs Island,08:00-17:30,4.4,1.5,44.0,大理
天龙八部影视城Tianlongbabu Film Studio,08:30-17:30,3.9,2.5,35.0,大理
大理苍山石门关景区Shimenguan,8:30-17:30,4.6,12.0,20.0,大理
小普陀Little Putuo Island,9:00-18:00,4.3,1.0,360.0,大理
苍山中和索道Cangshan Zhonghe Cableway,8:00-16:00,4.4,1.25,100.0,大理
三塔倒影公园Three Pagodas Reflection Park,8:00-17:00,4.5,1.5,66.0,大理
玉几岛Yuji Island,8:00-20:00,4.2,1.5,5.0,大理
感通索道Gantong Ropeway,08:30-16:30,4.3,1.5,95.0,大理
喜洲民居,8:00-18:00,4.0,3.0,62.0,大理
张家花园Zhangjia Garden,8:00-19:00,5.0,1.5,80.0,大理
石宝山Shibao Mountain,09:00-17:00,4.4,2.5,9.0,大理
大理西湖Dali West Lake,8:00-19:00,4.5,2.5,37.8,大理
鸡足山Jizu Mountain,08:00-18:00,4.7,3.5,50.0,大理
清碧溪Qingbi Creek,9:00-17:30,4.4,1.5,80.0,大理
青庐Qinglu,10:00-20:00,4.5,1.25,100.0,大理
中和寺Zhonghe Temple,8:30-16:10,4.3,1.0,60.0,大理
观音塘Guanyin Temple,8:00-18:00,4.6,1.5,0.0,大理
巍宝山Weibao Mountain,08:00-17:00,4.6,3.5,38.8,大理
玉波阁,9:00-18:00,4.0,0.5,0.0,大理
海云居Haiyunju Temple,8:00-18:00,4.6,1.5,30.0,大理
正觉寺Zhengjue Temple,9:00-21:00,4.0,2.0,0.0,大理
玉几庵,9:00-18:00,4.0,0.5,0.0,大理
洗马潭大索道Ximatan Cableway,08:00-15:00,4.5,0.6,260.0,大理
双廊本主庙,9:00-18:00,4.7,0.5,0.0,大理
赵氏宗祠Ancestral Hall of Family Zhao,9:00-18:00,3.8,1.5,0.0,大理
天柱山Tianzhu Mountain,7:00-17:30,4.7,108.0,130.0,安庆
三祖寺Sanzu Temple,6:00-18:00,4.1,1.0,288.0,安庆
浮山Fushan Mountain,8:00-18:00,4.2,2.5,48.8,安庆
巨石山Jushi Mountain,09:00-17:00,4.4,12.0,66.0,安庆
小孤山Mount Xiaogu,08:00-17:00,4.1,2.0,7.0,安庆
石莲洞国家森林公园Shilian Cave National Forestry Park,08:00-17:30,4.5,1.0,50.0,安庆
白崖寨Baiyazhai,08:30-17:30,4.5,2.5,49.9,安庆
妙道山Miaodao Mountain,8:00-17:00,4.5,72.0,6.0,安庆
贵清山旅游风景区Guiqing Mountain Tourism Scenic Area,8:30-18:00,4.5,4.0,50.0,定西
天井峡景区Tianjing Gorge Scenic Area,7:00-18:00,4.6,12.0,20.0,定西
桃花源Taohuayuan (“Peach Blossom Land”),09:00-15:30,4.6,3.5,116.0,常德
夷望溪Yiwang Creek,8:00-18:00,4.4,3.5,65.0,常德
龙王洞Longwang Cave,08:30-16:30,4.7,1.0,50.0,常德
石门壶瓶山Hupingshan Mountain in Shimen County,8:00-18:00,4.3,4.0,58.0,常德
夹山国家森林公园Jiashan National Forest Park,8:00-17:30,4.3,4.5,55.0,常德
广州塔Canton Tower,9:30-22:30,4.5,3.0,433.0,广州
千泷沟大瀑布Qianlonggou Waterfall,09:00-18:00,4.4,3.5,58.0,广州
宝墨园Baomo Garden,08:30-17:30,4.7,3.2,45.8,广州
南沙天后宫Nansha Tianhou Palace,8:30-17:00,4.4,2.5,18.0,广州
云台花园Yuntai Garden,8:00-18:00,4.6,1.5,258.0,广州
白水寨风景名胜区Baishuizhai Scenic Area,8:30-17:30,4.6,12.0,48.0,广州
中国科学院华南国家植物园Chinese Academy of Sciences Huanan Botanical Garden,7:30-17:30,4.6,5.0,50.0,广州
正佳极地海洋世界Grandview Aquarium,10:00-22:00,4.4,3.0,202.3,广州
世间香境·七溪地,09:00-18:00,4.5,12.0,68.0,广州
五指山Wuzhi Mountain,8:00-17:00,4.5,12.0,40.0,广州
沙湾古镇Shawan Ancient Town,09:00-17:30,4.4,72.0,30.0,广州
广州动物园Guangzhou Zoo,8:00-18:00,4.5,3.5,46.0,广州
石门国家森林公园Shimen National Park,9:00-19:00,4.4,72.0,9.0,广州
越秀公园Yuexiu Park,6:00-22:00,4.6,3.5,0.2,广州
中山纪念堂Sun Yat-Sen Memorial,09:00-17:30,4.7,2.5,138.0,广州
流溪河国家森林公园Liuxi River National Park,08:00-17:30,4.2,4.5,32.0,广州
百万葵园Million Sunflower Garden,9:00-17:30,4.3,3.5,38.0,广州
广州海洋馆Guangzhou Ocean Aquarium,9:00-17:30,4.4,3.0,130.0,广州
帽峰山景区Maofeng Mountain,8:00-17:00,4.4,12.0,188.0,广州
天鹿湖森林公园Tianlu Lake Forest Park,9:00-18:00,4.6,2.5,29.9,广州
广州南粤苑Guangzhou Nanyue Court,8:30-17:30,4.5,2.5,41.5,广州
珠江夜游天字码头Zhujiang Night Tour Tianzi Wharf,09:00-22:00,4.5,1.5,88.0,广州
石头记矿物园Shitouji Minerals Park,9:00-18:00,4.6,2.5,54.8,广州
石室圣心大教堂Sacred Heart Cathedral,09:00-17:00,4.6,2.0,6.0,广州
余荫山房Yuyin Hill House,8:00-18:00,4.6,2.5,14.0,广州
天河公园Tianhe Park,7:00-22:00,4.5,2.5,8.0,广州
流花湖公园Liuhua Lake Park,6:00-22:00,4.6,2.5,7.0,广州
南沙湿地Nansha Wetland,9:00-17:00,4.3,2.5,38.0,广州
屏山峡谷Pingshan Grand Canyon,08:30-15:30,4.2,12.0,199.0,恩施
恩施地心谷景区Enshi Dixin Valley Scenic Spot,08:00-15:00,4.4,3.5,105.0,恩施
腾龙洞风景区Tenglong Cave,08:30-16:00,4.4,2.5,75.0,恩施
神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area,08:30-17:30,4.4,2.75,95.0,恩施
龙麟宫Longlin Palace,8:00-18:00,3.9,1.5,42.0,恩施
云龙河地缝,08:00-16:00,4.4,3.0,50.0,恩施
锣圈岩地质公园矅天眼景区,08:30-17:00,4.0,2.5,120.0,恩施
巫峡口景区,08:30-18:00,3.0,12.0,120.0,恩施
猕猴水寨,8:00-17:30,4.0,1.25,120.0,恩施
惠州西湖Huizhou West Lake,8:00-21:00,4.6,12.0,4.0,惠州
广东罗浮山风景名胜区Luofu Mountain,07:00-18:00,4.4,108.0,54.0,惠州
三角洲岛Sanjiaozhou Island,9:00-16:30,3.8,5.0,118.0,惠州
永记生态园Wing Kee Farm Park,8:30-18:00,4.2,4.0,54.0,惠州
都江堰景区Dujiangyan Irrigation System,08:00-17:00,4.7,4.0,80.0,成都
文殊院Wenshuyuan,08:00-17:00,4.6,1.5,0.9,成都
西岭雪山Xiling Snow Mountain,09:00-17:30,4.6,4.0,120.0,成都
杜甫草堂Du Fu's Thatched Cottage,09:00-18:00,4.6,2.5,50.0,成都
熊猫谷Panda Valley,8:30-17:00,4.4,2.5,699.0,成都
锦绣安仁奇境花园Jinxiu'anren Huahui Park,09:30-18:00,4.7,2.5,20.0,成都
川西竹海景区Bamboo Canyon Scenic Area (Jinji Valley),08:00-17:00,4.4,3.5,54.0,成都
都江堰·玫瑰花溪谷Dujiangyan · Rose Valley,09:00-17:30,3.6,2.5,38.8,成都
青羊宫Qingyang Palace,8:00-17:30,4.5,1.5,1.0,成都
都江堰中华大熊猫苑（原熊猫乐园）Dujiangyan China Giant Panda Garden (formerly known as Panda Paradise),08:30-16:30,4.6,2.5,53.0,成都
四川建川博物馆聚落Jianchuan Museum Cluster,8:30-17:30,4.7,3.0,100.0,成都
花水湾第一村温泉Huashuiwan First Village Hot Spring Hotel,10:00-23:55,4.4,2.5,98.0,成都
鹤鸣茶社,6:30-22:00,4.6,0.75,12.0,成都
成都爱道堂,8:30-17:00,5.0,1.5,0.0,成都
望江楼公园Wangjiang Pavilion Park,08:00-18:00,4.6,2.5,1.0,成都
成都永陵博物馆Chengdu Yongling,09:07-16:33,4.5,2.5,2.0,成都
都江堰鱼嘴分水堤Dujiangyan Fish-mouth Water-dividing Dike,8:00-17:00,4.7,0.05,3.0,成都
离堆公园Lidui Park,8:00-18:00,4.6,1.5,1.0,成都
飞沙堰Feisha Dam,8:00-18:00,4.7,0.4,1.0,成都
刘氏庄园博物馆Liu's Manor Museum,09:00-17:00,4.6,3.0,30.0,成都
天师洞Tianshi Cave,8:30-17:30,4.6,0.4,3.0,成都
昭觉寺Zhaojue Temple,8:00-17:00,4.6,1.5,8.0,成都
瘦西湖Slender West Lake,06:30-17:30,4.7,4.5,95.0,扬州
何园Ho Family Garden,07:30-18:00,4.7,1.5,42.4,扬州
个园Geyuan Garden,7:30-17:00,4.7,1.5,42.4,扬州
扬州古运河Yangzhou Ancient Canal,14:00-21:00,4.6,72.0,70.0,扬州
汉广陵王墓博物馆Museum of Han Guangling King,8:30-17:00,4.6,2.5,25.0,扬州
汪氏小苑Wang's Little Garden,7:15-17:45,4.3,1.0,30.0,扬州
扬州八怪纪念馆Yangzhou Baguai Memorial Hall,08:30-17:00,4.2,1.5,20.0,扬州
茱萸湾风景区Zhuyuwan Scenic Spot,07:00-16:30,4.6,12.0,43.0,扬州
卢氏盐商住宅Residence of Salt Merchants Lu,9:00-11:00,4.2,1.5,7.0,扬州
吴道台府Wu Daotai House,9:00-17:00,4.3,1.5,20.0,扬州
馥园Fuyuan Garden,7:30-17:30,4.5,1.0,0.0,扬州
捺山地质公园Nashan Geological Park,8:00-17:00,4.4,2.5,66.0,扬州
高邮湖芦苇荡湿地公园Gaoyou Lake Reed Wetland Park,8:00-18:00,4.0,2.5,55.0,扬州
高邮湖滩郊野公园Gaoyouhu Jiaoye Park,5:30-17:30,3.3,1.5,50.0,扬州
唐城遗址博物馆,8:30-17:00,4.3,2.5,25.0,扬州
凤凰岛生态旅游区Fenghuang Island Eco-tourism Zone,8:30-17:00,4.0,12.0,40.0,扬州
盂城驿Yuchengyi Museum,8:15-17:30,4.5,1.0,25.0,扬州
龙虬庄文化遗址Longqiuzhuang Culture Ruins,8:00-18:00,4.6,1.5,25.0,扬州
文游台Wenyu Tai (Wenyu Platform),8:30-17:30,4.4,1.5,20.0,扬州
颛顼龙洞旅游景区Longtan Cave,8:30-17:00,4.3,2.5,50.0,攀枝花
青龙洞Qinglong Cave,8:00-16:00,4.6,1.5,20.0,攀枝花
王莽岭风景区Wangmang Ridge,08:00-16:00,4.5,5.75,9.0,晋城
蟒河生态旅游区Manghe Eco-Tourism Area,08:00-17:30,4.4,2.5,30.0,晋城
九女仙湖Jiunu Fairy Lake,8:00-17:00,4.2,3.0,9.0,晋城
珏山Jueshan Mountain,8:00-5:00,4.6,3.5,50.0,晋城
金沙滩生态旅游区Golden Beach Ecotourism Area,8:00-19:00,3.9,72.0,258.0,朔州
灵隐寺Lingyin Temple,07:00-18:15,4.7,1.5,40.0,杭州
杭州野生动物世界Hangzhou Safari Park,09:30-16:30,4.6,12.0,210.0,杭州
三潭印月Three Pools Mirroring the Moon,8:00-17:00,4.6,1.5,35.0,杭州
富春江Fuchun River,8:00-17:00,5.0,2.0,1.0,杭州
梅峰揽胜,9:15-10:45,4.6,2.5,55.0,杭州
龙门古镇Longmen Ancient Town,8:00-17:00,4.2,3.0,35.0,杭州
青山湖Qingshan Lake,7:30-17:00,4.3,2.5,140.0,杭州
禅源寺Chanyuan Temple,8:00-16:00,4.4,1.5,100.0,杭州
黄公望隐居地Huang Gongwang's Reclusive Place,9:00-17:30,4.3,3.0,45.0,杭州
桐庐天子地风景区Tianzidi,08:00-16:00,4.4,3.0,100.0,杭州
郭庄Guo's Villa,8:00-17:00,4.6,1.75,10.0,杭州
大奇山国家森林公园Daqishan National Forest Park,08:30-16:30,4.5,3.0,45.0,杭州
上天竺法喜讲寺Shangtianzhu Temple,4:30-18:30,4.7,0.75,10.0,杭州
虎跑公园Hupao Park,7:00-17:30,4.7,1.5,15.0,杭州
良渚古城遗址公园Liangzhugucheng Ruins Park,9:00-17:00,4.4,3.5,20.0,杭州
胡雪岩故居Hu Xueyan's Former Residence,08:00-17:00,4.7,1.5,20.0,杭州
杭州植物园Hangzhou Botanical Garden,07:00-17:00,4.6,2.5,10.0,杭州
西湖音乐喷泉West Lake Music Fountain,19:00-19:15,4.5,1.0,48.0,杭州
桂花岛（猴岛）Osmanthus Island,08:00-17:30,4.5,1.0,50.0,杭州
梅峰岛Meifeng Island,8:00-13:00,4.3,1.25,55.0,杭州
黄山尖Huangshanjian,8:00-12:00,4.5,1.5,55.0,杭州
浙西大峡谷West Zhejiang Grand Canyon,7:30-17:00,4.5,72.0,75.0,杭州
超山风景区Chao Mountain Scenic Area,08:00-17:00,4.4,72.0,29.9,杭州
新叶古村Xinye Ancient Village,8:00-16:30,4.1,2.5,54.0,杭州
千岛湖文渊狮城度假区Wenyuan Lion City Resort,9:00-21:00,4.0,2.5,67.5,杭州
岳王庙景区Yuewang Temple Scenic Area,07:30-17:30,4.6,1.0,25.0,杭州
六和塔Liuhe Pagoda,07:00-17:30,4.7,2.0,10.0,杭州
城隍阁景区Chenghuang Pavilion Scenic Area,8:00-20:00,4.5,3.0,30.0,杭州
"千岛湖中心湖区Thousand Island Lake, Central Lake Area",8:00-16:00,4.3,9.6,55.0,杭州
黑井古镇Heijing Town,08:30-17:30,4.1,2.0,15.0,楚雄州
彝人古镇The Ancient Town of Yi,09:00-22:00,4.5,3.0,99.0,楚雄州
元谋土林Yuanmou Earth and Forest Scenic Resort,8:00-18:00,4.6,12.0,70.0,楚雄州
永仁方山Yongren Square Mountain,08:00-18:00,4.7,2.0,10.0,楚雄州
石羊古镇Shiyang Ancient Town,8:00-17:00,4.4,2.0,25.0,楚雄州
物茂土林（虎跳滩土林）The Wumao Rock Forest (Hutiaoxia [Tiger Leaping Beach] Rock Forest),7:00-19:00,4.7,1.5,70.0,楚雄州
大姚县核桃博物馆Dayaoxian Hetao Museum,9:00-17:00,4.0,0.75,0.0,楚雄州
红海湾旅游区Red Bay Tourist Area,8:00-19:00,3.9,108.0,8.0,汕尾
玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple),8:30-17:00,4.6,1.5,8.0,汕尾
河源佗城Heyuan Tuocheng,8:30-17:30,4.2,3.0,30.0,河源
万绿湖风景区Wanlu Lake Scenic Spot,09:00-14:00,4.6,2.95,31.8,河源
苏家围Sujiawei,8:30-17:00,3.4,4.0,20.0,河源
万绿谷Wanlugu Valley,9:00-17:30,4.2,5.0,30.0,河源
野趣沟Yequ Valley,8:00-17:00,4.4,3.5,45.0,河源
新丰江国家森林公园桂山风景区Guishan,8:00-17:00,4.2,72.0,46.0,河源
黄龙岩畲族风情旅游区She Nationality Scenic Area in Huanglongyan,9:00-17:30,4.2,4.0,45.0,河源
张坝桂圆林Zhangba Guiyuan Forest,9:00-20:00,4.6,1.0,2.0,泸州
方山Fang Mountain,8:00-17:00,4.3,3.5,6.0,泸州
黄荆原始森林Huangjing Prehistoric Forest,7:00-18:00,4.4,3.0,58.0,泸州
倒流河旅游区Daoliu River Tourist Area,8:00-18:00,4.5,3.0,36.0,泸州
泸州老窖景区,9:00-17:00,4.8,1.5,35.0,泸州
纳溪区护国战争博物馆Naxiqu Huguo Zhanzheng Museum,9:00-17:00,4.5,2.5,0.0,泸州
西南医科大学附属中医医院中医药文化博物馆Xinan Yike Daxue Fushu Zhongyi Yiyuan Zhongyiyao Culture Museum,8:00-12:00,4.5,1.5,0.0,泸州
趵突泉景区Baotu Spring Park,07:00-19:00,4.6,2.5,20.0,济南
大明湖景区Daming Lake Scenic Area,05:00-22:00,4.6,4.5,75.0,济南
济南动物园Jinan Zoo,08:30-17:00,4.7,4.0,23.4,济南
五龙潭公园Five Dragon Pool,07:00-22:00,4.6,1.5,9.0,济南
红叶谷Red Leaves Canyon,8:00-17:00,4.4,72.0,29.5,济南
灵岩大佛山景区Lingyan Dafoshan Scenic Spot,8:30-17:00,4.4,12.0,49.9,济南
超然楼Chaoran Pavilion,8:30-18:00,4.5,0.75,188.0,济南
灵岩寺Lingyan Temple,8:00-17:00,4.7,2.5,65.5,济南
九如山休闲旅游度假风景区Jiuru Mountain Waterfall Scenic Area,08:00-17:00,4.6,5.0,89.0,济南
朱家峪Zhu Jiayu,8:00-17:30,4.4,3.5,37.9,济南
济南植物园Jinan Botanical Garden,8:00-17:00,4.5,12.0,27.9,济南
水帘峡风景区Shuilianxia Scenic Area,8:00-18:00,3.9,4.5,29.0,济南
柳絮泉Liuxu Spring,7:00-19:00,4.5,0.4,10.0,济南
金线泉Jinxian Spring,7:00-22:30,4.5,1.0,10.0,济南
四门塔Simen Tower,7:30-17:30,4.6,1.5,27.0,济南
千佛山风景名胜区Qianfo Mountain Scenic Resorts,6:30-18:30,4.2,12.0,0.0,济南
花YOUNG PARKZiyuan Herb Garden,9:00-17:00,4.2,2.5,39.9,济南
百脉泉公园Baimai Spring Park,07:30-18:00,4.6,3.5,50.0,济南
莲台山Liantai Mountain,8:00-18:00,4.4,2.0,20.0,济南
房干生态景区Fanggan Ecological Scenic Zone,8:00-17:00,4.4,4.5,95.0,济南
济南国际园博园Ji'nan International Horticultural Expo Park,9:00-21:00,4.4,4.0,5.0,济南
济源黄河小浪底风景区Yellow River Xiaolangdi Scenic Area in Jiyuan,8:00-18:30,4.4,3.5,60.0,济源
五龙口风景区Wulongkou Scenic Area,08:00-18:00,4.2,4.5,35.0,济源
济渎庙Jidu Temple,08:00-17:30,4.6,2.5,7.0,济源
王屋山-黛眉山地质博物馆,8:00-18:00,3.0,2.5,50.0,济源
洛阳黄河小浪底水利枢纽风景区Luoyang Yellow River Xiaolangdi Scenic Area,8:00-18:00,4.3,1.5,20.0,济源
小沟背风景区Xiaogoubei Scenic District,8:00-18:00,4.3,2.5,40.0,济源
黄河三峡Three Gorges of the Yellow River,8:00-18:00,4.3,2.5,180.0,济源
